benchmark,Cyclist-SL,SLEEK-20564,Songbird-20617,s2s.0.3.3-22440,slide-2018,VBS
shid_entl/tll-ravioli-existential.smt2,0.01184,none,18.27,0.784967,0.295465,Cyclist
shid_entl/tree_2_entail_tseg_2_unk-1.sb.smt2,none,0.072603,131.36,0.058802,none,s2s.0.3.3
shid_entl/tree_2_entail_tseg_2_unk-2.sb.smt2,none,0.07157,131.34,0.054045,none,s2s.0.3.3
shid_entl/tree_2_entail_tseg_2_unk-3.sb.smt2,none,0.071251,131.34,0.052982,none,s2s.0.3.3
shid_entl/tree_entail_tseg_unk-1.sb.smt2,none,0.069047,6.55,0.015109,0.466822,s2s.0.3.3
shid_entl/tree_entail_tseg_unk-2.sb.smt2,none,0.068749,10.77,0.014635,none,s2s.0.3.3
shid_entl/tree_split_tseg-1.sb.smt2,0.00926,0.084471,59.78,0.016203,none,Cyclist
shid_entl/tree_split_tseg-2.sb.smt2,0.009809,0.070448,none,0.015614,none,Cyclist
shid_entl/tseg_join_2_entail_tree_unk.sb.smt2,none,0.070982,60.27,0.016718,0.673616,s2s.0.3.3
shid_entl/tseg_join_2_entail_unk_tseg-1.sb.smt2,0.130294,0.328093,5.13,0.026907,none,s2s.0.3.3
shid_entl/tseg_join_2_entail_unk_tseg-2.sb.smt2,none,0.071518,24.06,0.025746,none,s2s.0.3.3
shid_entl/tseg_join_tree_entail_unk_tree-1.sb.smt2,none,0.071008,59.7,0.07698,none,SLEEK
shid_entl/tseg_join_tree_entail_unk_tree-2.sb.smt2,none,0.069517,8.08,0.017195,none,s2s.0.3.3
shid_entl/tseg_join_tree_entail_unk_tseg-1.sb.smt2,none,0.07241,64.36,0.031351,none,s2s.0.3.3
shid_entl/tseg_join_tree_entail_unk_tseg-2.sb.smt2,none,0.069602,none,0.031171,none,s2s.0.3.3
Total,6,1,2,64,0,ALL
