benchmark,Harrsh-22687,SLEEK-20564,SLSAT-22694,Songbird-20617,s2s.0.3.3-22440,VBS
qf_shid_sat/succ-circuit12.defs.smt2,none,11.4328,none,none,0.016044,s2s.0.3.3
qf_shid_sat/succ-circuit13.defs.smt2,none,11.735,none,none,0.015381,s2s.0.3.3
qf_shid_sat/succ-circuit14.defs.smt2,none,12.1173,none,none,0.015959,s2s.0.3.3
qf_shid_sat/succ-circuit15.defs.smt2,none,12.5923,none,none,0.017195,s2s.0.3.3
qf_shid_sat/succ-circuit16.defs.smt2,none,13.2169,none,none,0.01712,s2s.0.3.3
qf_shid_sat/succ-circuit17.defs.smt2,none,14.0022,none,none,0.017812,s2s.0.3.3
qf_shid_sat/succ-circuit18.defs.smt2,none,14.975,none,none,0.018259,s2s.0.3.3
qf_shid_sat/succ-circuit19.defs.smt2,none,16.0825,none,none,0.019978,s2s.0.3.3
qf_shid_sat/succ-circuit20.defs.smt2,none,17.5818,none,none,0.019987,s2s.0.3.3
qf_shid_sat/succ-rec01.defs.smt2,2.0015,0.066352,0.01264,0.016958,0.011481,s2s.0.3.3
qf_shid_sat/succ-rec02.defs.smt2,2.15996,0.124227,0.012648,0.037591,0.011979,s2s.0.3.3
qf_shid_sat/succ-rec03.defs.smt2,2.5728,1.23118,0.013809,0.154435,0.012556,s2s.0.3.3
qf_shid_sat/succ-rec04.defs.smt2,3.27326,1.96461,0.021671,0.719466,0.012934,s2s.0.3.3
qf_shid_sat/succ-rec05.defs.smt2,4.93707,10.7159,0.046854,4.42,0.013193,s2s.0.3.3
qf_shid_sat/succ-rec06.defs.smt2,8.8902,19.7504,0.178588,none,0.013829,s2s.0.3.3
qf_shid_sat/succ-rec07.defs.smt2,28.0663,19.6838,0.920816,none,0.014581,s2s.0.3.3
qf_shid_sat/succ-rec08.defs.smt2,99.9066,19.7211,5.08901,none,0.015085,s2s.0.3.3
qf_shid_sat/succ-rec09.defs.smt2,442.768,19.7724,28.3218,none,0.017016,s2s.0.3.3
qf_shid_sat/succ-rec10.defs.smt2,1583.61,19.7058,152.772,none,0.016778,s2s.0.3.3
qf_shid_sat/succ-rec11.defs.smt2,none,19.7216,798.925,none,0.017787,s2s.0.3.3
qf_shid_sat/succ-rec12.defs.smt2,none,19.7613,none,none,0.019916,s2s.0.3.3
qf_shid_sat/succ-rec13.defs.smt2,none,19.7564,none,none,0.020414,s2s.0.3.3
qf_shid_sat/succ-rec14.defs.smt2,none,19.7069,none,none,0.021794,s2s.0.3.3
qf_shid_sat/succ-rec15.defs.smt2,none,19.7537,none,none,0.023456,s2s.0.3.3
qf_shid_sat/succ-rec16.defs.smt2,none,19.7658,none,none,0.026427,s2s.0.3.3
qf_shid_sat/succ-rec17.defs.smt2,none,19.7608,none,none,0.027288,s2s.0.3.3
qf_shid_sat/succ-rec18.defs.smt2,none,19.7674,none,none,0.029083,s2s.0.3.3
qf_shid_sat/succ-rec19.defs.smt2,none,19.7818,none,none,0.031761,s2s.0.3.3
qf_shid_sat/succ-rec20.defs.smt2,none,19.7917,none,none,0.034038,s2s.0.3.3
qf_shid_sat/tll-01.smt2,1.94005,0.060298,0.014151,0.013052,0.012054,s2s.0.3.3
qf_shid_sat/tll-02.smt2,2.02013,none,0.013387,30.4019,0.011715,s2s.0.3.3
qf_shid_sat/tll-03.smt2,1.93865,0.060058,0.013285,0.018533,0.011711,s2s.0.3.3
qf_shid_sat/tll-04.smt2,1.97631,0.07183,0.012496,0.022366,0.011905,s2s.0.3.3
qf_shid_sat/tll-05.smt2,2.0395,0.068132,0.014392,0.026965,0.011866,s2s.0.3.3
qf_shid_sat/tll-06.smt2,2.35984,0.064988,0.014044,0.013125,0.011842,s2s.0.3.3
qf_shid_sat/tll-07.smt2,2.34753,0.075525,0.014767,0.053618,0.013447,s2s.0.3.3
qf_shid_sat/tll-08.smt2,2.4696,0.070381,0.01577,0.013995,0.012979,s2s.0.3.3
qf_shid_sat/tll-09.smt2,2.53277,0.6437,0.081306,0.018236,0.012972,s2s.0.3.3
qf_shid_sat/tll-10.smt2,3.05139,308.479,1.02708,2.75,0.013623,s2s.0.3.3
qf_shid_sat/tree-01.smt2,1.89158,0.053983,0.012885,0.011544,0.011678,Songbird
Total,0,0,18,2,79,ALL
